,price,Address,beds,area,baths
0,"$349,470",               35155 S APRIL Drive                        Black Canyon City AZ 85324         ,4 beds         ,"2,892 sq. ft         ",2 baths         
1,"$5,000,000",               0000 Tara Springs Road                        Black Canyon City AZ 85324         ,,,
2,"$4,100,000",               0 Table Mesa Road                        Black Canyon City AZ 85324         ,,,
3,"$849,000",               32150 S LISA Drive                        Black Canyon City AZ 85324         ,3 beds         ,"3,053 sq. ft         ",2 baths         
4,"$649,900",               35210 Kings Way                        Black Canyon City AZ 85324         ,3 beds         ,"3,235 sq. ft         ",3 baths         
5,"$329,000",               33325 S Summit Drive                        Black Canyon City AZ 85324         ,3 beds         ,"1,560 sq. ft         ",2 baths         
6,"$254,900",               19320 E GREGORY Street                        Black Canyon City AZ 85324         ,2 beds         ,"1,343 sq. ft         ",2 baths         
7,"$249,000",               34385 S K Field Road                        Black Canyon City AZ 85324         ,2 beds         ,"1,467 sq. ft         ",2 baths         
8,"$225,000",               20385 E SQUAW VALLEY Road                        Black Canyon City AZ 85324         ,3 beds         ,"1,064 sq. ft         ",2 baths         
9,"$200,000",               32577 S SHANGRILA Drive                        Black Canyon City AZ 85324         ,,,
10,"$165,000",               33080 S MATALA Way                        Black Canyon City AZ 85324         ,,,
11,"$165,000",               3xxxx S Matala Way                        Black Canyon City AZ 85324         ,,,
12,"$150,000",               33030 S Matala Way                        Black Canyon City AZ 85324         ,,,
13,"$110,000",               33360 S RIDGEWAY Road                        Black Canyon City AZ 85324         ,,,
14,"$89,000",               19650 E SQUAW VALLEY Road                        Black Canyon City AZ 85324         ,,,
15,"$89,000",               XXXXX E SQUAW VALLEY Road                        Black Canyon City AZ 85324         ,,,
16,"$75,000",               19050 E INDIAN HILLS Drive                        Black Canyon City AZ 85324         ,,,
17,"$65,000",               32675 S SHADOW MOUNTAIN Road                        Black Canyon City AZ 85324         ,,,
18,"$64,900",               19230 E INDIAN HILLS Drive                        Black Canyon City AZ 85324         ,,,
19,"$60,000",               32995 S MAGGIE MINE Road                        Black Canyon City AZ 85324         ,,,
